country,city,year,month,day,value,country_enc,city_enc,pollution_bin
7,1868,2022,4,25,4.0,5,1535,0
29,257,2022,5,15,4.0,25,205,0
4,1114,2022,5,15,1.58,2,910,0
34,1717,2020,6,11,4.0,29,1410,0
84,969,2022,5,12,4.0,71,784,0
54,214,2022,4,29,4.0,44,167,0
25,1312,2022,5,8,4.0,21,1070,0
28,178,2022,4,12,3.2,24,135,0
79,80,2022,5,8,4.0,66,59,0
20,723,2022,4,23,4.0,17,582,0
29,1210,2022,5,11,3.0,25,986,0
28,713,2022,5,10,4.0,24,573,0
4,1685,2022,5,3,3.9,2,1380,0
84,1591,2022,4,28,4.0,71,1297,0
84,1286,2022,5,14,1.2,71,1049,0
77,905,2022,4,22,4.0,64,732,0
84,476,2022,5,1,1.9,71,379,0
14,1711,2022,5,10,4.0,12,1404,0
40,1834,2022,4,2,4.0,34,1506,0
84,1498,2022,4,19,4.0,71,1220,0
84,931,2022,5,5,4.0,71,752,0
79,1324,2022,5,20,4.0,66,1081,0
84,1512,2022,3,31,4.0,71,1232,0
84,582,2022,4,9,4.0,71,466,0
84,670,2022,4,14,4.0,71,539,0
3,1874,2022,4,5,3.70300006,1,1541,0
84,1882,2022,4,2,4.0,71,1549,0
84,770,2022,5,20,2.0,71,616,0
84,557,2022,3,31,3.0,71,444,0
79,1760,2022,4,10,4.0,66,1444,0
84,838,2021,1,9,4.0,71,672,0
84,1414,2022,5,26,4.0,71,1157,0
68,915,2022,4,17,4.0,56,740,0
84,637,2022,5,8,4.0,71,511,0
63,703,2022,5,25,4.0,52,564,0
40,1524,2022,5,20,4.0,34,1243,0
84,644,2020,6,11,2.0,71,518,0
62,719,2022,4,22,4.0,51,579,0
19,1319,2022,4,30,4.0,16,1077,0
84,1008,2022,4,22,4.0,71,820,0
84,557,2022,3,30,4.0,71,444,0
84,1256,2022,5,20,4.0,71,1022,0
68,879,2022,4,13,4.0,56,709,0
68,606,2022,4,23,4.0,56,487,0
29,692,2022,5,6,4.0,25,557,0
84,340,2022,4,3,4.0,71,266,0
84,594,2022,4,14,4.0,71,478,0
84,1510,2022,4,29,4.0,71,1230,0
29,240,2022,5,11,4.0,25,190,0
77,1934,2022,5,14,4.0,64,1590,0
84,407,2022,4,11,2.4,71,326,0
68,1919,2022,5,2,4.0,56,1578,0
29,203,2022,3,30,4.0,25,157,0
62,1218,2022,4,28,4.0,51,992,0
84,588,2022,4,11,1.3,71,472,0
84,1111,2022,5,1,4.0,71,907,0
88,1183,2022,4,28,1.808,75,965,0
84,964,2022,4,17,4.0,71,780,0
40,1731,2022,4,13,2.72,34,1420,0
28,1229,2022,5,8,1.5,24,1003,0
84,518,2022,3,31,4.0,71,417,0
88,1920,2021,12,22,4.0,75,1579,0
84,149,2022,4,5,0.5,71,112,0
4,872,2022,5,21,4.0,2,703,0
25,1799,2022,5,1,4.0,21,1478,0
84,1037,2022,5,4,4.0,71,847,0
68,1933,2022,5,6,4.0,56,1589,0
84,670,2022,4,13,4.0,71,539,0
84,1056,2022,5,26,4.0,71,862,0
20,184,2022,5,22,4.0,17,141,0
79,856,2022,5,8,4.0,66,688,0
40,1805,2022,5,24,4.0,34,1484,0
28,998,2022,5,6,4.0,24,811,0
84,675,2022,4,21,4.0,71,543,0
84,1125,2022,4,5,4.0,71,917,0
29,250,2022,4,24,4.0,25,200,0
69,1923,2022,5,13,3.0,57,1581,0
84,585,2020,9,9,4.0,71,469,0
28,793,2022,5,3,4.0,24,635,0
28,1599,2022,5,5,4.0,24,1305,0
68,1637,2022,4,29,4.0,56,1336,0
68,118,2022,4,17,4.0,56,91,0
62,251,2022,5,18,4.0,51,201,0
29,1010,2022,5,24,1.0,25,822,0
63,1765,2022,4,5,2.2,52,1449,0
84,468,2022,5,13,2.3,71,371,0
4,69,2022,4,13,1.03,2,53,0
28,786,2022,4,29,4.0,24,629,0
68,1356,2022,4,19,4.0,56,1109,0
84,311,2022,4,11,3.8,71,245,0
34,900,2022,4,10,4.0,29,729,0
84,388,2022,4,7,1.8,71,310,0
63,1272,2022,4,18,4.0,52,1036,0
84,139,2022,5,4,4.0,71,105,0
84,969,2022,4,7,4.0,71,784,0
40,665,2022,4,15,4.0,34,534,0
29,406,2022,4,19,4.0,25,325,0
88,341,2022,4,8,4.0,75,267,0
43,176,2022,4,11,4.0,36,134,0
46,220,2022,5,7,3.0,37,173,0
11,1164,2022,5,5,4.0,9,950,0
40,1477,2022,4,12,4.0,34,1208,0
4,254,2022,5,13,4.0,2,203,0
28,1269,2022,4,1,3.2,24,1033,0
84,1850,2022,5,14,2.3,71,1518,0
84,1029,2022,5,16,2.1,71,840,0
84,1208,2022,4,13,4.0,71,985,0
28,1634,2022,5,26,2.7,24,1333,0
