country,city,year,month,day,value
40,207,2022,4,10,90.9
40,369,2022,5,5,26.96
40,1326,2022,4,16,126.2
40,562,2022,4,26,132.6
40,1192,2022,4,7,201.9
40,490,2022,5,5,66.0
84,85,2022,5,20,14.3
40,892,2022,5,5,500.0
40,1192,2022,4,17,153.1
41,159,2022,4,12,500.0
14,450,2022,5,22,67.0
14,961,2022,5,18,54.0
40,867,2022,4,12,140.0
40,614,2022,4,30,112.0
84,1651,2022,4,18,8.9
40,1466,2022,4,23,216.59
40,898,2022,4,7,18.09
40,892,2022,5,4,500.0
84,310,2022,5,9,6.0
40,728,2022,4,20,100.5
40,914,2022,4,18,131.7
40,728,2022,4,18,165.1
14,526,2022,5,7,71.0
40,1152,2018,2,21,245.0
88,568,2022,5,20,52.569
40,848,2022,4,27,38.0
79,1227,2022,4,12,125.0
40,206,2022,5,13,227.18
40,1101,2022,4,28,270.0
40,696,2022,4,30,443.0
40,614,2022,4,27,257.0
79,280,2022,4,10,59.0
40,393,2022,4,3,477.4
40,823,2022,5,10,124.61
40,1628,2022,5,17,189.0
84,1651,2022,4,20,7.1
79,1227,2022,4,13,104.0
14,1396,2022,5,16,150.0
40,1101,2022,4,24,500.0
40,892,2022,4,18,500.0
88,1862,2022,5,26,262.458
40,899,2022,5,18,105.2
40,914,2022,5,21,59.72
14,940,2022,5,18,80.0
40,1466,2022,3,30,189.73
40,1101,2022,4,10,239.0
88,1224,2022,4,8,375.217
14,451,2022,5,15,69.0
40,1015,2022,4,21,500.0
40,1624,2022,4,30,287.0
40,1381,2022,4,17,52.6
88,404,2022,5,22,67.847
15,653,2022,4,9,500.0
40,1146,2022,4,29,500.0
84,585,2018,8,11,220.0
67,947,2022,4,6,500.0
41,159,2022,4,13,192.0
40,1151,2022,4,23,122.0
9,1078,2022,4,19,66.0
88,1087,2022,5,14,241.375
64,866,2022,4,4,96.0
40,1734,2022,4,6,65.97
84,1502,2022,5,2,500.0
68,235,2022,3,31,2.5
40,821,2022,4,16,124.3
40,1131,2022,4,6,108.25
40,1084,2022,3,30,369.5
40,274,2022,4,27,86.0
40,161,2022,4,23,138.4
40,1016,2022,5,2,78.37
25,963,2020,6,4,500.0
88,1224,2022,4,8,375.217
40,1226,2022,4,18,151.0
14,1710,2022,5,11,60.0
40,640,2022,5,4,500.0
78,1157,2022,3,31,211.0
40,570,2022,4,5,120.3
16,230,2022,1,15,500.0
40,847,2022,4,8,133.15
29,1238,2022,5,15,14.0
40,1780,2021,7,24,500.0
40,1151,2022,4,28,280.0
40,562,2022,4,9,317.1
40,614,2022,5,5,315.0
84,1111,2022,5,4,7.6
40,207,2022,4,21,334.7
40,892,2022,5,9,500.0
40,614,2022,4,19,215.0
40,696,2022,4,10,500.0
40,1173,2022,4,15,63.07
40,1318,2022,4,24,80.8
40,1624,2022,4,16,242.0
40,821,2022,5,2,84.4
43,57,2022,5,26,500.0
0,35,2022,5,18,230.0
40,274,2022,4,20,96.0
79,955,2022,5,3,15.0
0,503,2022,5,23,141.0
40,1427,2022,5,14,500.0
74,877,2022,4,23,224.0
14,992,2022,5,21,55.0
14,394,2022,5,17,234.0
47,916,2022,4,10,383.0
43,1753,2022,5,17,54.0
15,653,2022,4,10,500.0
28,114,2022,4,17,3.9
40,604,2022,4,14,61.95
40,385,2022,5,11,53.0
40,1896,2022,4,4,172.7
40,1081,2022,5,5,215.63
84,309,2022,5,6,442.4
14,750,2022,5,3,57.0
40,1101,2022,4,8,285.0
63,619,2022,5,21,365.509151
40,823,2022,5,7,112.18
84,1316,2022,4,22,12.4
43,1063,2022,3,31,13.2
40,1580,2022,4,11,10.15
