country,city,year,month,day,value
40,562,2022,5,5,222.8
40,808,2022,4,17,137.1
40,482,2022,4,20,107.0
84,1208,2022,3,13,3.5
84,1872,2022,4,24,15.5
84,285,2017,11,6,8.0
40,665,2022,5,2,104.0
4,1641,2022,5,4,2.4
40,367,2022,5,15,23.4
84,1697,2022,5,11,11.9
40,1466,2022,4,17,178.02
84,995,2022,4,7,6.8
78,1157,2022,4,21,292.0
84,1533,2022,4,12,6.0
40,493,2022,4,23,250.72
40,282,2022,4,17,208.0
40,661,2022,4,28,293.1
40,848,2022,5,2,500.0
40,509,2022,5,7,51.41
40,206,2022,4,14,228.9
43,57,2022,5,19,500.0
40,385,2022,4,5,208.0
40,665,2022,4,27,202.0
40,1192,2022,4,7,201.9
40,392,2022,5,24,18.0
40,213,2022,4,4,222.0
40,899,2022,5,6,96.6
40,1084,2022,4,9,212.9
29,250,2022,5,14,13.0
10,826,2022,5,3,14.0
84,981,2022,4,6,14.8
15,2257,2020,12,31,133.0
68,1637,2022,5,19,7.93635
40,868,2022,4,19,79.0
29,970,2022,5,12,3.0
40,160,2022,4,5,268.0
40,696,2022,4,13,206.0
68,1884,2022,4,24,33.9972
84,8,2017,9,7,288.0
19,1835,2022,5,12,31.0
40,1081,2022,5,5,215.63
40,914,2022,4,6,70.89
14,1172,2022,5,16,230.0
40,696,2022,4,27,233.0
29,788,2022,5,9,5.0
40,1226,2022,5,13,122.0
40,1401,2022,4,6,40.0
15,1607,2022,5,23,202.0
40,562,2020,6,4,77.59
14,1309,2022,4,30,131.0
43,1532,2022,4,22,10.8
79,1541,2022,4,9,73.0
40,899,2022,5,7,239.0
40,160,2022,4,4,214.0
15,2053,2020,1,15,279.0
74,877,2022,5,18,293.0
40,1081,2022,5,2,100.2
40,614,2022,4,19,215.0
84,1545,2022,5,8,8.9
84,923,2022,4,2,4.0
68,1014,2022,4,5,18.7
40,77,2022,4,30,159.5
40,1538,2022,5,13,57.0
68,1376,2022,4,14,28.6878
29,440,2022,4,20,7.0
40,372,2022,5,7,205.0
84,1110,2022,4,24,6.8
60,1912,2021,4,14,207.95
40,562,2022,4,5,251.0
40,893,2016,11,9,279.1
40,744,2022,4,25,47.57
67,947,2022,5,18,90.0
68,1356,2022,4,23,52.72
68,1919,2022,5,4,13.1717
7,989,2022,3,30,32.9
40,1437,2022,5,13,19.35
84,1625,2022,5,10,1.2
63,1766,2022,4,21,8.58186
10,1692,2022,5,9,7.0
68,209,2022,5,9,1.0
40,1084,2022,4,7,280.8
40,665,2022,4,7,104.0
40,1624,2022,3,30,216.0
40,1466,2022,4,9,213.27
40,1146,2022,5,7,500.0
37,809,2022,3,30,500.0
29,788,2022,5,10,2.0
79,1467,2022,5,6,23.0
84,589,2022,4,22,10.6
40,1146,2022,5,7,500.0
40,45,2022,5,20,129.2
40,540,2022,4,28,27.0
74,877,2022,5,16,500.0
40,1084,2022,4,8,439.7
29,1640,2022,4,24,19.0
40,1015,2022,4,27,150.89
14,1172,2022,5,16,230.0
84,824,2022,5,8,5.8
53,1457,2022,4,17,6.0
7,985,2022,4,21,4.587
88,1862,2022,5,26,262.458
40,96,2022,5,12,212.0
38,991,2022,5,2,4.26
40,665,2022,4,27,202.0
15,2053,2020,1,15,279.0
84,594,2022,4,28,10.0
74,877,2022,4,7,500.0
60,1912,2021,4,14,207.95
40,274,2022,4,13,250.0
60,1912,2021,4,14,207.95
40,562,2022,4,13,214.0
40,372,2022,4,16,212.0
40,160,2022,4,7,229.0
40,805,2022,3,31,88.0
16,230,2022,4,9,25.0
36,1816,2022,4,12,290.2055
40,493,2022,4,16,209.39
40,640,2022,4,19,131.0
40,207,2022,3,31,229.4
60,1912,2021,4,14,207.95
84,1844,2021,11,22,2.0
40,274,2022,4,12,272.0
84,1057,2022,4,23,3.7
82,2325,2021,5,17,9.0
40,614,2022,4,5,146.0
84,1701,2022,5,15,2.3
14,441,2022,5,20,270.0
60,126,2022,4,17,19.0
40,160,2022,4,27,207.0
40,1427,2022,5,14,500.0
40,100,2022,4,5,108.0
40,206,2022,5,16,251.06
84,1507,2022,4,27,1.0
84,1297,2022,3,31,2.4
40,119,2022,4,23,108.0
40,696,2022,3,30,232.0
40,1896,2022,4,2,131.1
28,371,2022,4,29,15.6
84,1344,2020,6,11,2.1
40,1427,2022,5,14,500.0
40,823,2022,4,4,203.1
88,602,2022,5,8,14.602
40,1101,2022,4,28,270.0
84,373,2022,3,31,14.7
79,366,2022,4,11,66.0
74,877,2022,4,7,500.0
40,1015,2022,4,11,70.0
84,1300,2022,4,23,8.0
68,1926,2022,5,1,53.0
29,1643,2022,5,19,9.0
40,213,2022,4,8,204.0
40,274,2022,4,12,272.0
40,562,2022,5,5,222.8
40,1084,2022,4,7,280.8
14,1172,2022,5,16,230.0
84,1388,2022,4,20,0.0
14,1309,2022,5,6,92.0
40,893,2016,11,9,279.1
41,159,2022,4,17,105.0
14,1392,2022,5,15,94.0
40,160,2022,1,31,233.0
40,180,2022,4,11,7.07
79,1177,2022,4,6,53.0
40,696,2022,4,27,233.0
40,889,2022,5,24,115.7
40,1780,2021,7,22,500.0
40,810,2022,4,5,101.77
84,1310,2022,5,22,6.0
40,206,2022,5,16,251.06
84,1552,2022,4,23,6.0
84,327,2022,5,26,9.1
40,1325,2022,5,7,54.35
78,1157,2022,4,21,292.0
40,160,2022,4,6,297.0
84,518,2020,6,11,8.0
40,274,2022,4,16,500.0
14,1749,2022,5,8,31.0
10,654,2022,5,17,3.0
40,852,2022,5,26,500.0
40,206,2022,4,27,224.37
84,1840,2022,4,24,5.7
40,207,2022,4,18,211.6
84,1545,2022,4,7,9.1
4,1232,2022,4,30,5.5
40,728,2022,4,29,79.5
29,1441,2022,4,7,1.0
40,562,2022,5,26,212.8
29,1670,2022,4,15,8.0
84,930,2022,5,21,4.0
40,1538,2022,4,17,207.0
40,858,2022,5,19,30.34
88,1862,2022,4,1,150.407
88,1087,2022,5,17,249.165
40,372,2022,5,13,128.7
40,1192,2022,4,7,201.9
84,411,2022,5,13,13.0
40,1628,2022,5,15,142.0
40,206,2022,4,9,215.07
28,541,2022,4,1,9.4
40,1781,2022,4,10,113.0
40,1084,2022,4,9,212.9
40,1778,2022,5,22,54.6
28,338,2022,5,10,5.0
84,231,2022,4,20,2.0
88,1087,2022,5,14,241.375
79,1181,2022,4,19,23.0
40,1466,2022,5,20,226.98
40,1151,2022,5,12,104.0
40,1151,2022,4,30,134.0
10,1696,2022,3,31,2.0
74,877,2022,5,12,297.0
0,35,2022,5,18,230.0
40,161,2022,4,8,209.83
40,372,2022,5,7,205.0
84,673,2022,5,14,0.0
84,54,2022,4,9,2.2
68,1113,2022,4,5,11.4903
40,640,2022,5,9,34.0
40,160,2022,1,31,233.0
40,696,2022,4,7,202.0
40,1466,2022,5,11,299.82
84,704,2022,5,20,8.7
40,1226,2022,4,25,106.0
88,1862,2022,5,26,262.458
40,640,2022,4,2,157.0
40,1151,2022,4,10,262.0
40,1427,2022,5,13,500.0
14,441,2022,5,16,262.0
40,282,2022,4,17,208.0
40,1202,2020,6,11,24.45
43,57,2022,5,19,500.0
40,1152,2018,2,21,245.0
84,273,2022,5,21,10.4
84,389,2022,5,2,9.0
84,1495,2022,5,8,6.8
40,1466,2022,5,6,275.97
40,696,2022,4,28,253.0
68,1690,2022,4,6,3.89631
40,160,2022,4,6,297.0
84,1478,2022,5,21,9.0
84,476,2022,5,15,5.5
41,159,2022,5,24,211.0
40,914,2022,4,23,103.22
29,978,2022,5,8,9.3
41,159,2022,5,24,211.0
84,422,2022,5,13,6.4
28,1804,2022,4,30,11.9
14,1273,2022,5,17,250.0
40,1084,2022,4,18,207.2
14,450,2022,5,26,101.0
40,160,2022,4,13,241.0
10,1692,2022,4,3,4.0
40,688,2022,4,17,22.44
0,35,2022,5,18,230.0
40,868,2022,4,12,267.0
40,1101,2022,3,30,254.0
4,399,2022,5,3,4.9
40,805,2022,5,8,62.0
0,503,2022,5,6,291.0
84,1533,2022,4,25,2.0
84,585,2018,8,11,220.0
40,96,2022,4,16,77.0
64,866,2022,4,27,70.0
20,1520,2021,12,31,2.0
84,1767,2022,5,3,16.0
40,1631,2022,5,25,34.2
84,1891,2022,5,25,5.9
40,1834,2022,4,26,111.66
40,155,2022,4,7,246.0
41,159,2022,4,11,374.0
40,1326,2022,4,26,217.2
40,562,2022,5,19,275.7
40,1101,2022,4,9,305.0
14,944,2022,4,30,117.0
77,171,2020,6,11,2.3634
29,1876,2022,4,17,15.0
40,821,2022,5,7,151.7
40,45,2022,5,13,100.2
79,878,2022,4,8,65.0
84,127,2022,5,10,3.8
40,805,2022,4,21,105.0
40,823,2022,4,14,261.84
40,372,2022,4,16,212.0
40,493,2022,4,16,209.39
68,1277,2017,1,8,233.0
40,1146,2022,4,7,49.0
40,818,2022,5,12,52.8
4,1363,2022,5,21,15.01
40,899,2022,5,8,153.1
40,1084,2022,4,16,201.4
40,1326,2022,4,26,217.2
14,441,2022,5,20,270.0
77,247,2020,6,11,11.542
40,696,2022,4,27,233.0
84,7,2022,4,26,5.9
40,1101,2022,4,8,285.0
40,899,2022,5,18,105.2
40,696,2022,4,13,206.0
79,1677,2022,4,29,24.0
84,844,2022,4,28,3.0
40,564,2022,4,19,500.0
9,1078,2022,5,5,40.0
40,823,2022,4,29,141.38
40,696,2022,4,7,202.0
40,45,2022,5,12,128.8
62,1218,2022,4,25,16.4028
40,892,2022,5,25,500.0
40,1101,2022,3,30,254.0
40,206,2022,4,27,224.37
84,1285,2022,5,9,8.0
40,161,2022,4,8,209.83
15,2214,2020,12,31,207.0
40,696,2022,4,12,230.0
67,1336,2022,3,30,238.0
84,136,2022,4,30,7.0
40,847,2022,5,17,59.55
84,340,2022,5,18,16.3
70,414,2022,5,6,18.65966666
40,206,2022,4,27,224.37
40,274,2022,4,22,57.0
40,1399,2022,4,24,47.41
40,614,2022,4,2,65.0
84,1633,2022,4,20,4.8
84,1478,2022,5,23,1.1
14,1172,2022,5,16,230.0
40,282,2022,4,26,110.0
40,1624,2022,5,9,108.0
40,493,2022,4,5,171.11
40,1466,2022,5,19,223.23
40,1896,2022,4,19,103.0
40,161,2022,4,7,221.99
40,245,2022,5,14,366.28
37,809,2022,5,7,18.0
40,596,2022,5,23,126.3
84,1502,2022,4,2,500.0
7,985,2022,5,15,14.7405
40,482,2022,3,31,164.0
71,829,2022,3,31,7.58233
40,686,2020,6,11,500.0
40,274,2022,4,16,500.0
40,1146,2022,4,29,500.0
19,912,2022,4,19,17.0
40,823,2022,4,4,203.1
40,1101,2022,4,8,285.0
40,1151,2022,5,14,102.0
14,1446,2022,4,9,20.0
84,1064,2022,5,22,9.1
60,1912,2021,4,14,207.95
40,562,2022,5,19,275.7
40,562,2022,4,17,288.3
40,892,2022,4,18,500.0
40,160,2022,4,27,207.0
22,59,2022,5,22,34.0
40,898,2022,5,17,25.75
74,877,2022,5,22,360.0
84,510,2022,4,9,6.7
40,160,2022,4,8,339.0
40,604,2022,5,14,68.0
79,1581,2022,5,19,25.0
28,1320,2022,4,24,8.4
40,245,2022,4,7,74.21
15,2148,2019,2,11,32.0
40,1147,2022,4,24,120.0
40,1081,2022,4,19,102.18
40,161,2022,3,30,242.37
84,239,2022,5,15,4.0
62,324,2022,4,11,18.157
40,368,2022,4,8,68.0
84,539,2022,4,30,6.4
29,1643,2022,4,14,9.0
84,741,2022,5,19,8.7
40,1780,2021,7,13,500.0
84,1260,2022,5,10,6.0
40,1192,2022,4,7,201.9
40,823,2022,4,3,120.02
40,213,2022,3,30,263.0
40,207,2022,4,19,147.9
40,206,2022,4,14,228.9
40,614,2022,4,19,215.0
40,1015,2022,4,17,123.48
84,1850,2022,5,16,5.1
40,867,2022,4,19,65.0
88,1087,2022,5,14,241.375
40,593,2022,5,4,500.0
84,1593,2022,5,24,3.7
40,1173,2022,5,8,115.81
40,1146,2022,5,7,500.0
40,562,2022,5,19,275.7
28,370,2022,4,8,6.5
34,1525,2022,5,24,8.5
40,562,2022,4,6,283.7
40,562,2022,4,6,283.7
40,96,2022,5,12,212.0
68,1425,2022,4,25,19.94
20,199,2022,5,12,14.38
40,1152,2022,4,13,82.0
40,482,2018,2,21,271.0
29,974,2022,5,18,5.0
14,441,2022,5,16,262.0
40,1101,2022,5,20,77.0
40,1140,2022,4,17,179.0
68,1931,2022,4,28,7.81459
40,661,2022,3,31,209.35
84,841,2022,4,25,10.0
40,705,2022,5,25,500.0
40,1081,2022,5,5,215.63
40,1226,2022,4,22,98.9
40,562,2018,2,22,232.0
40,899,2022,5,18,105.2
40,892,2022,5,5,500.0
86,730,2022,4,2,11.0
46,220,2022,5,15,5.0
40,1151,2022,4,3,200.0
40,1628,2022,4,21,57.0
74,877,2022,5,10,66.0
68,1276,2022,4,10,6.1122
14,1711,2022,5,5,99.0
40,759,2022,4,27,76.0
40,604,2022,4,3,249.0
40,274,2022,3,30,230.0
40,1151,2022,5,16,102.0
75,1785,2022,4,14,5.2
40,245,2022,5,14,366.28
88,611,2022,5,1,4.47
40,696,2022,4,7,202.0
40,1084,2022,4,16,201.4
